"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
496703,"December 31, 2013",Ohio,Barberton,"300 block of Seventh Street Northeast",1,3,0,0,1,N/A
496684,"December 31, 2013","New York",Brooklyn,"60 Glenmore Ave",6,0,0,0,0,N/A
496668,"December 28, 2013",Alabama,Montgomery,"954 Highland Ave",5,3,0,0,2,N/A
496634,"December 26, 2013",Louisiana,Slidell,"2144 First St",6,2,0,0,1,N/A
496584,"December 26, 2013",Louisiana,Lockport,"313 Tenth St",3,2,0,1,0,N/A
495577,"December 25, 2013","New York",Medford,"33A Cedarhurst Ave",3,1,0,0,1,N/A
495588,"December 25, 2013","New Jersey",Irvington,"371 Nye Ave",2,3,0,0,1,N/A
495566,"December 22, 2013",Michigan,Muskegon,"2300 block of W McMillan Rd",3,1,0,0,0,N/A
495557,"December 21, 2013","North Carolina",Shelby,"Jose Street",4,0,0,0,0,N/A
495548,"December 21, 2013","New Jersey",Trenton,"Jersey Street and Home Avenue",4,1,0,0,0,N/A
495543,"December 15, 2013",Florida,"Homestead (Florida City)","7th Avenue and 13th Terrace",3,1,0,0,0,N/A
495530,"December 15, 2013",Texas,Channelview,"900 block of Ashland Boulevard",5,0,0,0,0,N/A
495506,"December 14, 2013","North Carolina",Statesville,"167 Wallace Springs",4,0,0,0,0,N/A
495374,"December 7, 2013",Delaware,Wilmington,"3421 Kirkwood Hwy",4,0,0,0,0,N/A
495332,"December 1, 2013",Kansas,Topeka,"1629 SW Central Park",0,4,0,0,0,N/A
495347,"December 1, 2013",Florida,Miami,"NW 64th Street and 12th Avenue",2,2,0,0,0,N/A
495323,"November 30, 2013",Michigan,Lansing,N/A,5,0,0,0,3,N/A
495268,"November 30, 2013",Georgia,Valdosta,"Gordon Street and North Ashley Street",4,0,0,0,0,N/A
495195,"November 29, 2013",California,Fresno,"Oleander and Modoc",4,0,0,0,0,N/A
495178,"November 29, 2013",Indiana,Indianapolis,"3400 block of East 34th Street",4,0,0,0,0,N/A
495171,"November 28, 2013","New York",Rochester,"St. Paul Boulevard and Andrews Street",4,0,0,0,0,N/A
494215,"November 25, 2013",Minnesota,Minneapolis,"1611 E Lake St",3,1,0,0,0,N/A
495145,"November 25, 2013",California,Oakland,"96th Avenue and Olive Street",7,0,0,0,0,N/A
494155,"November 23, 2013",Oklahoma,Tulsa,"Pine Street and Harvard Avenue",1,4,0,0,0,N/A
494116,"November 21, 2013",Pennsylvania,Philadelphia,"1400 block of N. 60th Street",4,0,0,0,0,N/A
494072,"November 20, 2013",Texas,Houston,"8200 block of Sunbury",2,3,0,0,1,N/A
494033,"November 15, 2013",Texas,Houston,"4400 block of Tiffany",3,1,0,0,0,N/A
493882,"November 11, 2013","New York",Brooklyn,"318 Maujer St",1,3,0,1,0,N/A
493893,"November 10, 2013",Ohio,Canton,"1215 Tuscarawas St W",3,1,0,0,1,N/A
493863,"November 10, 2013",Arizona,Phoenix,"5800 South 53rd Glen",3,1,0,0,5,N/A
493842,"November 9, 2013",Texas,Cypress,"7300 block of Enchanted Creek Drive",16,2,0,0,2,N/A
493035,"November 7, 2013",Michigan,Detroit,"Conley and 7 Mile",7,3,0,0,0,N/A
492999,"November 6, 2013","District of Columbia",Washington,"3900 block of Minnesota Ave",3,1,0,0,1,N/A
493109,"November 5, 2013",Florida,Jacksonville,"1100 block of Randolph",0,4,0,0,0,N/A
492950,"November 3, 2013",California,"Los Angeles","1 World Way",3,1,0,0,1,N/A
492985,"November 3, 2013",California,Perris,"2900 block of Perris Boulevard",5,0,0,0,0,N/A
492933,"November 2, 2013",Kentucky,Radcliff,"355 Shelby Avenue",3,1,0,0,0,N/A
492914,"October 29, 2013","South Carolina","Bradley (Callison)","Callison Highway",0,4,0,1,0,N/A
492570,"October 27, 2013",California,Vallejo,"200 block of Princeton Avenue",6,1,0,0,0,N/A
492393,"October 27, 2013","North Carolina","Southern Pines","115 Turner St",4,1,0,0,0,N/A
492699,"October 27, 2013",California,Roseville,"6th Street and Hampton",4,0,0,0,1,N/A
492427,"October 27, 2013",Texas,Beaumont,"500 block of Edgemore Drive",4,0,0,0,0,N/A
492366,"October 26, 2013",Connecticut,"New Haven","85 Saint John St",5,1,0,0,1,N/A
481419,"October 26, 2013",Florida,"Miami Gardens","NW 187 Street and 30 Avenue",4,0,0,0,0,N/A
