Incident ID,Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations
2595583,11-May-23,Illinois,Chicago,600 block of W 61st Pl,3,2,0,0,0,N/A
2595672,11-May-23,Indiana,Indianapolis,4020 S. East St,3,1,0,0,0,N/A
2595658,11-May-23,Pennsylvania,Philadelphia,5900 block of North 21st St,3,1,0,0,0,N/A
2594759,10-May-23,Colorado,Denver,9600 E Girard Ave,4,1,0,0,0,N/A
2590876,7-May-23,New Jersey,Newark,300 block of Orange St,3,1,0,0,0,N/A
2590669,7-May-23,California,Adelanto,10900 block of Bartlett Ave,5,2,0,0,0,N/A
2591640,7-May-23,California,Thornton,8600 block of W Mokelumne Ave,3,1,0,0,0,N/A
2591449,7-May-23,Wisconsin,Fond Du Lac,912 Martin Ave,3,1,0,0,1,N/A
2590617,7-May-23,Missouri,Saint Louis,2100 block of Branch St,2,2,0,0,0,N/A
2590631,7-May-23,Missouri,Columbia,904 Business Loop 70 E,3,1,1,0,2,N/A
2590940,7-May-23,Maryland,Frostburg,E College Ave,3,1,0,0,0,N/A
2591270,7-May-23,California,Redwood City,400 block of Redwood Ave,5,0,0,0,0,N/A
2589882,6-May-23,California,Chico,1000 block of Columbus Ave,5,1,0,0,0,N/A
2589762,6-May-23,Ohio,Columbus,624 N High St,9,0,1,0,1,N/A
2589765,6-May-23,Ohio,Columbus,1400 block of St Clair Ave,3,1,0,1,0,N/A
2590046,6-May-23,Texas,Allen,820 W Stacy Rd,7,8,0,1,0,N/A
2592771,6-May-23,Mississippi,Robinsonville (Tunica Resorts),2669 Kirby Rd,4,0,0,0,0,N/A
2589699,5-May-23,Mississippi,Ocean Springs,1013 Government St,6,1,0,0,1,N/A
2592407,5-May-23,Louisiana,Bastrop,Welch Ave. and Pruitt St,2,2,0,0,1,N/A
2589981,5-May-23,Missouri,Saint Louis,2837 Cherokee St,2,2,0,0,0,N/A
2589804,5-May-23,Mississippi,Natchez,261 Devereux Dr,3,2,0,0,2,N/A
2589790,5-May-23,Mississippi,Vicksburg,1320 Levee St,4,0,0,0,0,N/A
